iter	RMSE
735	104154.4217
736	104076.1137
737	103847.2113
738	103797.2925
739	103631.7029
740	103569.4534
741	103396.8203
742	103241.0336
743	103105.2694
744	103056.2917
745	102925.6097
746	102865.983
747	102580.1885
748	102479.7497
749	102432.76
750	102386.6511
751	102342.6607
752	102298.305
753	102253.7204
754	102116.1464
755	101997.5697
756	101831.0975
757	101671.1253
758	101579.3895
759	101475.316
760	101244.2613
761	101108.141
762	101054.9434
763	101015.4127
764	100929.4384
765	100862.8296
766	100822.9941
767	100785.0642
768	100652.7868
769	100614.5088
770	100565.1246
771	100528.1221
772	100492.8196
773	100234.0367
774	100198.4495
775	100087.6004
776	100052.6301
777	99745.40585
778	99708.38142
779	99675.36528
780	99560.65311
781	99524.99943
782	99398.36447
783	99312.84134
784	99277.66901
785	99246.23173
786	99165.70487
787	99040.34917
788	99011.0385
789	98888.66045
790	98775.50869
791	98685.05316
792	98623.43961
793	98531.98661
794	98469.45583
795	98294.91302
796	98250.40173
797	98221.47923
798	98109.61223
799	97815.76817
800	97724.4073
801	97672.10574
802	97645.97019
803	97494.08061
804	97424.38688
805	97273.12595
806	97127.6488
807	97089.32061
808	96815.35426
809	96665.9329
810	96519.69403
811	96353.71594
812	96283.07731
813	96115.42247
814	96032.32011
815	96006.13906
816	95916.96118
817	95660.4842
818	95531.35002
819	95487.66643
820	95454.58523
821	95327.05545
822	95304.15617
823	95250.1962
824	95029.39938
825	94997.01662
826	94916.79848
827	94823.96585
828	94770.96855
829	94761.27307
830	94602.24499
831	94459.61984
832	94213.699
833	94079.53818
834	93949.36077
835	93874.77491
836	93779.11669
837	93641.40705
838	93488.14345
839	93354.71288
840	93162.57412
841	93124.16249
842	92920.61236
843	92901.30792
844	92694.95831
845	92507.70089
846	92483.33828
847	92407.25932
848	92282.10646
849	92214.20872
850	92121.0517
851	91973.09682
852	91922.06352
853	91879.66212
854	91761.16242
855	91687.79882
856	91499.29336
857	91427.67048
858	91365.04074
859	91193.50902
860	91167.02412
861	91119.12095
862	90985.58442
863	90802.3333
864	90645.2671
865	90581.49251
866	90408.48557
867	90241.06081
868	90214.21687
869	89976.51445
870	89880.78115
871	89848.86207
872	89814.34462
873	89629.89197
874	89473.07277
875	89394.54341
876	89312.74873
877	89186.97808
878	89164.20702
879	89123.46209
880	89081.17217
881	88933.80636
882	88846.04226
883	88706.40925
884	88684.76222
885	88637.5196
886	88563.551
887	88491.06578
888	88350.50531
889	88148.21993
890	88029.23723
891	87908.29408
892	87840.45559
893	87652.64135
894	87493.11065
895	87430.08973
896	87259.82443
897	87161.87539
898	87059.07699
899	87025.8586
900	86880.39194
901	86711.42173
902	86626.10913
903	86556.56476
904	86515.10721
905	86451.36268
906	86336.65399
907	86187.67847
908	86127.93598
909	86026.36313
910	85949.58581
911	85751.22044
912	85631.63933
913	85599.30542
914	85438.36961
915	85376.69059
916	85363.83581
917	85186.05768
918	85087.7541
919	85006.03107
920	84963.93113
921	84947.21518
922	84891.14793
923	84719.6613
924	84659.28094
925	84599.86821
926	84549.1169
927	84400.61457
928	84374.92888
929	84334.97305
930	84293.72718
931	84277.9704
932	84253.90385
933	84214.44054
934	84058.9308
935	83956.2764
936	83934.27847
937	83906.54543
938	83847.75681
939	83725.1176
940	83685.85866
941	83534.13047
942	83480.00554
943	83352.30377
944	83330.29612
945	83317.7658
946	83175.39462
947	83149.95016
948	83093.2538
949	83067.05128
950	83008.61118
951	82902.73524
952	82776.60992
953	82704.67276
954	82592.89442
955	82424.46297
956	82413.23847
957	82383.40819
958	82336.76772
959	82305.92627
960	82203.41744
961	82168.11229
962	82025.24977
963	82016.15001
964	81967.5878
965	81959.2538
966	81911.07344
967	81862.21534
968	81783.11168
969	81730.19328
970	81692.96516
971	81679.49884
972	81610.63315
973	81496.77834
974	81484.68161
975	81379.39941
976	81340.9567
977	81269.05784
978	81240.11957
979	81231.91273
980	81171.17701
981	81072.92735
982	81033.07561
983	80982.22274
984	80952.35126
985	80855.87938
986	80771.42558
987	80642.32579
988	80631.38025
989	80511.85171
990	80450.98977
991	80316.62935
992	80304.5044
993	80256.06079
994	80146.52124
995	80075.40707
996	80059.06124
997	80030.0274
998	79975.62447
999	79954.87317
